Ones,Inputs,Normalized
1,-0.328089888,0.179304878
1,-0.325842697,0.172009315
1,-0.323595506,0.158830233
1,-0.321348315,0.129809002
1,-0.319101124,0.033876681
1,-0.316853933,0.073488245
1,-0.314606742,0.054462804
1,-0.312359551,0.200956227
1,-0.31011236,0.199407932
1,-0.307865169,0.182426239
1,-0.305617978,0.14966433
1,-0.303370787,0.04227463
1,-0.301123596,0.086060396
1,-0.298876404,0.065325637
1,-0.296629213,0.229841207
1,-0.294382022,0.233123591
1,-0.292134831,0.228020413
1,-0.28988764,0.232442342
1,-0.287640449,0.230398593
1,-0.285393258,0.121906508
1,-0.283146067,0.070143929
1,-0.280898876,0.260658459
1,-0.278651685,0.241571085
1,-0.276404494,0.231017911
1,-0.274157303,0.227537345
1,-0.271910112,0.216934625
1,-0.269662921,0.116939579
1,-0.26741573,0.066006887
1,-0.265168539,0.243701538
1,-0.262921348,0.235910521
1,-0.260674157,0.216488716
1,-0.258426966,0.209639062
1,-0.256179775,0.204127134
1,-0.253932584,0.109037085
1,-0.251685393,0.058810414
1,-0.249438202,0.225382119
1,-0.247191011,0.211348379
1,-0.24494382,0.184792033
1,-0.242696629,0.173731018
1,-0.240449438,0.153182055
1,-0.238202247,0.084375852
1,-0.235955056,0.045940991
1,-0.233707865,0.058488369
1,-0.231460674,0.166559318
1,-0.229213483,0.147063195
1,-0.226966292,0.134206158
1,-0.224719101,0.126340823
1,-0.22247191,0.066205068
1,-0.220224719,0.034211113
1,-0.217977528,0.144561151
1,-0.215730337,0.115477989
1,-0.213483146,0.105680382
1,-0.211235955,0.097059479
1,-0.208988764,0.095659821
1,-0.206741573,0.049557807
1,-0.204494382,0.026903163
1,-0.202247191,0.103326975
1,-0.2,0.096638343
1,-0.197752809,0.087175168
1,-0.195505618,0.086481532
1,-0.193258427,0.084214829
1,-0.191011236,0.042522357
1,-0.188764045,0.025392028
1,-0.186516854,0.107129586
1,-0.184269663,0.093145391
1,-0.182022472,0.085193351
1,-0.179775281,0.084078579
1,-0.17752809,0.085292442
1,-0.175280899,0.04346372
1,-0.173033708,0.026209528
1,-0.170786517,0.107451631
1,-0.168539326,0.0861471
1,-0.166292135,0.081613694
1,-0.164044944,0.078455174
1,-0.161797753,0.074479154
1,-0.159550562,0.037976565
1,-0.157303371,0.024785097
1,-0.15505618,0.087856417
1,-0.152808989,0.074020859
1,-0.150561798,0.068484158
1,-0.148314607,0.066551886
1,-0.146067416,0.065238933
1,-0.143820225,0.033083955
1,-0.141573034,0.019347487
1,-0.139325843,0.026630664
1,-0.137078652,0.084029034
1,-0.134831461,0.065821091
1,-0.13258427,0.062452003
1,-0.130337079,0.059169619
1,-0.128089888,0.030235093
1,-0.125842697,0.019310328
1,-0.123595506,0.073661654
1,-0.121348315,0.064693933
1,-0.119101124,0.057844279
1,-0.116853933,0.05726212
1,-0.114606742,0.052035078
1,-0.112359551,0.028030322
1,-0.11011236,0.01644908
1,-0.107865169,0.065858251
1,-0.105617978,0.055267917
1,-0.103370787,0.050127579
1,-0.101123596,0.0259618
1,-0.098876404,0.021131122
1,-0.096629213,0.020028736
1,-0.094382022,0.017762033
1,-0.092134831,0.068880521
1,-0.08988764,0.057695642
1,-0.087640449,0.054809622
1,-0.085393258,0.052679169
1,-0.083146067,0.050325761
1,-0.080898876,0.027633958
1,-0.078651685,0.01498749
1,-0.076404494,0.063158025
1,-0.074157303,0.052728714
1,-0.071910112,0.04771224
1,-0.069662921,0.046857582
1,-0.06741573,0.041296108
1,-0.065168539,0.02093294
1,-0.062921348,0.013637377
1,-0.060674157,0.053880645
1,-0.058426966,0.045408378
1,-0.056179775,0.045073947
1,-0.053932584,0.04071395
1,-0.051685393,0.039524859
1,-0.049438202,0.021651349
1,-0.047191011,0.013278173
1,-0.04494382,0.049495875
1,-0.042696629,0.042856789
1,-0.040449438,0.039438155
1,-0.038202247,0.036923725
1,-0.035955056,0.033455545
1,-0.033707865,0.012411128
1,-0.031460674,0.011841356
1,-0.029213483,0.042596676
1,-0.026966292,0.035982362
1,-0.024719101,0.03208066
1,-0.02247191,0.034421681
1,-0.020224719,0.030990661
1,-0.017977528,0.015854535
1,-0.015730337,0.00968613
1,-0.013483146,0.021440781
1,-0.011235955,0.03962395
1,-0.008988764,0.032638046
1,-0.006741573,0.029405207
1,-0.004494382,0.030730547
1,-0.002247191,0.015012262
1,0,0.009574653
1,0.002247191,0.035846112
1,0.004494382,0.031969183
1,0.006741573,0.030829638
1,0.008988764,0.029888275
1,0.011235955,0.029578616
1,0.013483146,0.014244308
1,0.015730337,0.009896698
1,0.017977528,0.036614066
1,0.020224719,0.033653727
1,0.02247191,0.03262566
1,0.024719101,0.031684297
1,0.026966292,0.030953502
1,0.029213483,0.014108059
1,0.031460674,0.011544083
1,0.033707865,0.038149974
1,0.035955056,0.034780885
1,0.038202247,0.034830431
1,0.040449438,0.032885773
1,0.042696629,0.034273045
1,0.04494382,0.01672158
1,0.047191011,0.010441697
1,0.049438202,0.045618946
1,0.051685393,0.044454629
1,0.053932584,0.041977358
1,0.056179775,0.040974063
1,0.058426966,0.040738722
1,0.060674157,0.021180667
1,0.062921348,0.013563059
1,0.065168539,0.05223326
1,0.06741573,0.048021899
1,0.069662921,0.04876508
1,0.071910112,0.04917383
1,0.074157303,0.049210989
1,0.076404494,0.025565437
1,0.078651685,0.015755444
1,0.080898876,0.065821091
1,0.083146067,0.064136547
1,0.085393258,0.066192682
1,0.087640449,0.066180296
1,0.08988764,0.064693933
1,0.092134831,0.03405009
1,0.094382022,0.021155895
1,0.096629213,0.086270964
1,0.098876404,0.079755741
1,0.101123596,0.077575743
1,0.103370787,0.08084574
1,0.105617978,0.083868011
1,0.107865169,0.042931107
1,0.11011236,0.028092254
1,0.112359551,0.115217876
1,0.114606742,0.115416058
1,0.116853933,0.125176506
1,0.119101124,0.125325142
1,0.121348315,0.130415934
1,0.123595506,0.065932569
1,0.125842697,0.043699061
1,0.128089888,0.17297545
1,0.130337079,0.174276018
1,0.13258427,0.172752496
1,0.134831461,0.168231476
1,0.137078652,0.174647608
1,0.139325843,0.085527783
1,0.141573034,0.058067233
1,0.143820225,0.225530755
1,0.146067416,0.227475413
1,0.148314607,0.22228553
1,0.150561798,0.233656204
1,0.152808989,0.223202121
1,0.15505618,0.108132881
1,0.157303371,0.079099264
1,0.159550562,0.282185944
1,0.161797753,0.274630267
1,0.164044944,0.256496643
1,0.166292135,0.265167092
1,0.168539326,0.249287785
1,0.170786517,0.11625833
1,0.173033708,0.090853915
1,0.175280899,0.292516164
1,0.17752809,0.284687988
1,0.179775281,0.269254589
1,0.182022472,0.272177769
1,0.184269663,0.263148116
1,0.186516854,0.124965938
1,0.188764045,0.093764709
1,0.191011236,0.317152625
1,0.193258427,0.3064632
1,0.195505618,0.286756509
1,0.197752809,0.276488221
1,0.2,0.26830084
1,0.202247191,0.117980033
1,0.204494382,0.084066193
1,0.206741573,0.303230361
1,0.208988764,0.27254936
1,0.211235955,0.259630391
1,0.213483146,0.236282112
1,0.215730337,0.223561325
1,0.217977528,0.094978572
1,0.220224719,0.073376768
1,0.22247191,0.263891297
1,0.224719101,0.232628137
1,0.226966292,0.214519286
1,0.229213483,0.201748953
1,0.231460674,0.194837367
1,0.233707865,0.08747244
1,0.235955056,0.059627914
1,0.238202247,0.220142691
1,0.240449438,0.193697822
1,0.242696629,0.182822603
1,0.24494382,0.172690564
1,0.247191011,0.165395001
1,0.249438202,0.078863924
1,0.251685393,0.052035078
1,0.253932584,0.198243615
1,0.256179775,0.166819432
1,0.258426966,0.151150692
1,0.260674157,0.150469443
1,0.262921348,0.147100354
1,0.265168539,0.064817797
1,0.26741573,0.046399287
1,0.269662921,0.171674883
1,0.271910112,0.145700696
1,0.274157303,0.095734139
1,0.276404494,0.047538831
1,0.278651685,0.14582456
1,0.280898876,0.058488369
1,0.283146067,0.040156564
1,0.285393258,0.158483415
1,0.287640449,0.129561275
1,0.28988764,0.12329378
1,0.292134831,0.109817425
1,0.294382022,0.109346744
1,0.296629213,0.046993832
1,0.298876404,0.033988159
1,0.301123596,0.127889117
1,0.303370787,0.09783982
1,0.305617978,0.091138801
1,0.307865169,0.080313127
1,0.31011236,0.076200857
1,0.312359551,0.034917135
1,0.314606742,0.026482027
1,0.316853933,0.097270047
1,0.319101124,0.081304035
1,0.321348315,0.075581539
1,0.323595506,0.068038249
1,0.325842697,0.064656774
1,0.328089888,0.029950207
1,0.330337079,0.025156687
1,0.33258427,0.083706988
1,0.334831461,0.067208363
1,0.337078652,0.060383482
1,0.339325843,0.060272004
1,0.341573034,0.058030074
1,0.343820225,0.023162484
1,0.346067416,0.017415215
1,0.348314607,0.068979612
1,0.350561798,0.056246439
1,0.352808989,0.052864964
1,0.35505618,0.051031783
1,0.357303371,0.049297694
1,0.359550562,0.021118736
1,0.361797753,0.016052716
1,0.364044944,0.065053137
1,0.366292135,0.05209701
1,0.368539326,0.047650308
1,0.370786517,0.045247356
1,0.373033708,0.043166448
1,0.375280899,0.015928853
1,0.37752809,0.011965219
1,0.379775281,0.042943493
1,0.382022472,0.031733842
1,0.384269663,0.047997126
1,0.386516854,0.04359997
1,0.388764045,0.040020314
1,0.391011236,0.017378056
1,0.393258427,0.012757946
1,0.395505618,0.052183714
1,0.397752809,0.044330765
1,0.4,0.041444744
1,0.402247191,0.041159858
1,0.404494382,0.038484406
1,0.406741573,0.015148512
1,0.408988764,0.010751356
1,0.411235955,0.017105557
1,0.413483146,0.048777467
1,0.415730337,0.04465281
1,0.417977528,0.040069859
1,0.420224719,0.036886566
1,0.42247191,0.016027944
1,0.424719101,0.012163401
1,0.426966292,0.054388486
1,0.429213483,0.043674288
1,0.431460674,0.040082245
1,0.433707865,0.038831224
1,0.435955056,0.034495999
1,0.438202247,0.014269081
1,0.440449438,0.012448287
1,0.442696629,0.048504967
1,0.44494382,0.039512473
1,0.447191011,0.037704065
1,0.449438202,0.039178041
1,0.451685393,0.034396908
1,0.453932584,0.013141923
1,0.456179775,0.01087522
1,0.458426966,0.046436446
1,0.460674157,0.040317586
1,0.462921348,0.036353952
1,0.465168539,0.034855204
1,0.46741573,0.034533158
1,0.469662921,0.011469765
1,0.471910112,0.011222038
1,0.474157303,0.041147472
1,0.476404494,0.035102931
1,0.478651685,0.035028612
1,0.480898876,0.034310204
1,0.483146067,0.031486115
1,0.485393258,0.014318627
1,0.487640449,0.012225333
1,0.48988764,0.047315877
1,0.492134831,0.045185424
1,0.494382022,0.048789853
1,0.496629213,0.051205192
1,0.498876404,0.04108554
1,0.501123596,0.013786013
1,0.503370787,0.024921347
1,0.505617978,0.102311294
1,0.507865169,0.121757872
1,0.51011236,0.144016152
1,0.512359551,0.158297619
1,0.514606742,0.139928655
1,0.516853933,0.046337355
1,0.519101124,0.072348701
1,0.521348315,0.299452523
1,0.523595506,0.398667228
1,0.525842697,0.480615354
1,0.528089888,0.526197141
1,0.530337079,0.575123244
1,0.53258427,0.278705378
1,0.534831461,0.234238363
1,0.537078652,0.850298511
1,0.539325843,0.887160304
1,0.541573034,0.934538113
1,0.543820225,0.923600961
1,0.546067416,0.907288131
1,0.548314607,0.387185077
1,0.550561798,0.294782867
1,0.552808989,1
1,0.55505618,0.929236753
1,0.557303371,0.877263606
1,0.559550562,0.811182401
1,0.561797753,0.714692695
1,0.564044944,0.311603538
1,0.566292135,0.234845294
1,0.568539326,0.765885501
1,0.570786517,0.632088092
1,0.573033708,0.57065177
1,0.575280899,0.509426016
1,0.57752809,0.448249808
1,0.579775281,0.205118042
1,0.582022472,0.151175465
1,0.584269663,0.462902866
